Function,Building,Office,Office Number,Additional information
Title III,GWC Brown Memorial Hall,Suite 112,757-823-8234,https://www.nsu.edu/titleiii/about
Accreditations,Harrison B. Wilson Hall Administration Building,133,757-278-4604,https://www.nsu.edu/About/Accreditation
Testing services,Harrison B. Wilson Hall Administration Building,133,757-823-2504 ,https://www.nsu.edu/testing-services/
Writing center,Lyman Beecher Brooks Library,First Floor,757-823-2271,https://www.nsu.edu/writing-center
Ticket ccenter,Harrison B. Wilson Hall Administration Building,Room 350,757-823-8085,https://www.nsu.edu/auxiliary-services
Printing services,Harrison B. Wilson Hall Administration Building,Room 350,757-823-8085,https://www.nsu.edu/auxiliary-services
Copy management,Harrison B. Wilson Hall Administration Building,Room 350,757-823-8085,https://www.nsu.edu/auxiliary-services
Conference services,Harrison B. Wilson Hall Administration Building,Room 350,757-823-8085,https://www.nsu.edu/auxiliary-services
SpartanCard Operations,Harrison B. Wilson Hall Administration Building,Room 350,757-823-8085,https://www.nsu.edu/auxiliary-services
Food Services,Harrison B. Wilson Hall Administration Building,Room 350,757-823-8085,https://www.nsu.edu/auxiliary-services
University Bookstore,Student Center,Suite 135,757-823-8200,https://norfolkstate.bncollege.com
Licensing,Harrison B. Wilson Hall Administration Building,Room 350,757-823-8085,https://www.nsu.edu/auxiliary-services
Laundry Service,Harrison B. Wilson Hall Administration Building,Room 350,757-823-8085,https://www.nsu.edu/auxiliary-services
Vending Service,Harrison B. Wilson Hall Administration Building,Room 350,757-823-8085,https://www.nsu.edu/auxiliary-services
Housing and Residence,New Residential Complex,Suite 100,757-823-8407,https://www.nsu.edu/housing-and-residence-life
Parking and transportation services,Police Station,Suite 138 ,757-823-2211,https://www.nsu.edu/parking-services
Student activities and leadership,Student Center,Suite 323,757-823-8200,https://www.nsu.edu/student-activities
Student accounts,Student Center,Suite 209,757-823-9293,https://www.nsu.edu/About/Administrative-Offices-Services/Student-Accounts-Department
Cashier,Student Center,Suite 209,757-823-8545,https://www.nsu.edu/About/Administrative-Offices-Services/Student-Accounts-Department
Credit Card payments,Student Center,Suite 209,757-823-8545,https://www.nsu.edu/About/Administrative-Offices-Services/Student-Accounts-Department
Bursar,Student Center,Suite 209,757-823-9293,https://www.nsu.edu/About/Administrative-Offices-Services/Student-Accounts-Department
Controller,Harrison B. Wilson Hall Administration Building,Suite 360,757-823-8275,https://www.nsu.edu/About/Administrative-Offices-Services/Controller
Facilities management,Harrison B. Wilson Hall Administration Building,Suite 320,757-823-2957,https://www.nsu.edu/About/Administrative-Offices-Services/Facilities-Management
Building services and ground,Harrison B. Wilson Hall Administration Building,Suite 150,757-823-2772,https://www.nsu.edu/About/Administrative-Offices-Services/Facilities-Management
Capital planning and improvements,Harrison B. Wilson Hall Administration Building,Suite 150,757-823-8440,https://www.nsu.edu/About/Administrative-Offices-Services/Facilities-Management
Environmental health and safety and risk management,Harrison B. Wilson Hall Administration Building,Suite 150,757-823-9142,https://www.nsu.edu/About/Administrative-Offices-Services/Facilities-Management
Payroll,Harrison B. Wilson Hall Administration Building,Suite 360,757-823-8074,https://www.nsu.edu/finance-and-administration/payroll
Planning and Budget,Harrison B. Wilson Hall Administration Building,Suite 320,757-823-2126,https://www.nsu.edu/About/Administrative-Offices-Services/Office-of-Planning-and-Budget
Procument services,Harrison B. Wilson Hall Administration Building,Suite 150,757-823-8053,https://www.nsu.edu/About/Administrative-Offices-Services/Procurement-Services
Contracts and Purchasing,Harrison B. Wilson Hall Administration Building,Suite 150,757-823-8053,https://www.nsu.edu/About/Administrative-Offices-Services/Procurement-Services
Warehouse,Harrison B. Wilson Hall Administration Building,Suite 150,757-823-8053,https://www.nsu.edu/About/Administrative-Offices-Services/Procurement-Services
Vendors (Doing business with the school),Harrison B. Wilson Hall Administration Building,Suite 150,757-823-8053,https://www.nsu.edu/About/Administrative-Offices-Services/Procurement-Services
University Police,Police Station,Main,757-823-8102,https://www.nsu.edu/About/Administrative-Offices-Services/University-Police-Department
Academic Engagement,Nursing & General Education Building,Suite 300,757-823-9081,https://www.nsu.edu/Academics/Academic-Engagement
Spartna Seminar Series,Nursing & General Education Building,Suite 300,757-823-9081,https://www.nsu.edu/Academics/Academic-Engagement
Meta-Majors,Nursing & General Education Building,Suite 300,757-823-9081,https://www.nsu.edu/Academics/Academic-Engagement
Workforce Readiness Efforts,Nursing & General Education Building,Suite 300,757-823-9081,https://www.nsu.edu/Academics/Academic-Engagement
C3 Consortium,Nursing & General Education Building,Suite 300,757-823-9081,https://www.nsu.edu/Academics/Academic-Engagement
Thurgood Marshall College Fund,Nursing & General Education Building,Suite 300,757-823-9081,https://www.nsu.edu/Academics/Academic-Engagement
